AREA	ZIP	PO_NAME	STATE	SUMBLKPOP	POP1999
848.31	84737	Hurricane	UT	6868	10810
13.01	84738	Ivins	UT	1632	3909
28.74	84739	Joseph	UT	289	418
3352.41	84741	Kanab	UT	3955	4910
506.1	84743	Kingston	UT	825	906
16.29	84745	La Verkin	UT	2192	3113
173.43	84747	Loa	UT	987	1092
260.35	84750	Marysvale	UT	452	495
2055.52	84751	Milford	UT	2089	2618
0.11	84753	Modena	UT	0	0
259.62	84754	Monroe	UT	2995	4025
46.39	84755	Mount Carmel	UT	11	0
1154.21	84756	Newcastle	UT	767	899
14.41	84757	New Harmony	UT	114	142
115.32	84758	Orderville	UT	538	622
567.25	84759	Panguitch	UT	1797	1905
513.31	84760	Paragonah	UT	354	448
151.83	84761	Parowan	UT	1946	2161
3.75	84765	Santa Clara	UT	2331	4417
128.31	84766	Sevier	UT	19	28
625.25	84770	Saint George	UT	19738	32979
79.9	84772	Summit	UT	207	224
214.62	84773	Teasdale	UT	430	465
193.32	84775	Torrey	UT	434	470
46.24	84780	Washington	UT	4134	7339
111.47	84781	Pine Valley	UT	31	130
43.15	84782	Veyo	UT	510	1149
64.48	84783	Dammeron Valley	UT	376	756
80.97	84790	Saint George	UT	9507	19022
