84003,1998,12,1,25
84010,1998,11,3,46
84015,1998,1,1,1
84017,1998,1,1,1
84020,1998,2,1,6
84025,1998,5,1,2
84026,1998,1,\N,1
84029,1998,1,\N,\N
84032,1998,3,1,2
84040,1998,4,\N,1
84041,1998,9,5,52
84044,1998,5,\N,3
84047,1998,5,4,15
84050,1998,1,\N,1
84054,1998,1,\N,\N
84056,1998,1,2,5
84057,1998,2,4,17
84058,1998,2,2,8
84060,1998,3,\N,8
84062,1998,3,\N,5
84065,1998,3,1,\N
84066,1998,2,1,6
84067,1998,2,1,7
84068,1998,4,\N,2
84070,1998,1,\N,5
84074,1998,5,2,6
84078,1998,5,\N,12
84082,1998,1,\N,\N
84084,1998,2,\N,2
84088,1998,12,2,29
84092,1998,4,\N,5
84093,1998,1,1,7
84094,1998,7,\N,42
84097,1998,2,1,2
84098,1998,6,\N,8
84101,1998,2,1,1
84102,1998,17,2,143
84103,1998,21,5,72
84104,1998,7,1,3
84105,1998,9,\N,20
84106,1998,7,\N,6
84107,1998,14,3,117
84108,1998,5,2,24
84109,1998,7,3,11
84110,1998,1,\N,1
84111,1998,11,2,14
84112,1998,12,\N,21
84113,1998,29,2,59
84114,1998,1,\N,3
84115,1998,10,1,10
84116,1998,3,1,4
84117,1998,10,1,28
84118,1998,4,6,10
84119,1998,11,5,28
84120,1998,7,1,25
84121,1998,10,3,24
84123,1998,6,\N,4
84124,1998,19,8,92
84132,1998,27,7,200
84133,1998,1,\N,\N
84143,1998,4,1,45
84148,1998,20,5,35
84170,1998,1,\N,\N
84190,1998,1,\N,1
84302,1998,2,\N,11
84307,1998,1,\N,\N
84312,1998,1,\N,1
84321,1998,4,2,32
84332,1998,1,\N,1
84335,1998,1,\N,3
84337,1998,2,\N,4
84340,1998,1,\N,\N
84341,1998,3,2,28
84401,1998,7,\N,13
84403,1998,16,2,102
84404,1998,6,3,7
84405,1998,6,6,33
84408,1998,1,\N,1
84414,1998,3,\N,7
84501,1998,2,3,14
84513,1998,1,2,1
84520,1998,1,1,\N
84523,1998,1,\N,1
84532,1998,5,\N,4
84535,1998,1,\N,\N
84601,1998,6,1,20
84602,1998,5,\N,8
84603,1998,3,\N,5
84604,1998,16,4,94
84605,1998,1,\N,2
84606,1998,4,\N,4
84624,1998,1,\N,3
84634,1998,1,1,5
84647,1998,1,\N,\N
84648,1998,3,\N,5
84651,1998,8,1,16
84653,1998,1,\N,1
84654,1998,1,\N,\N
84660,1998,3,\N,9
84663,1998,3,1,3
84701,1998,2,2,4
84713,1998,2,1,1
84719,1998,1,\N,\N
84720,1998,8,2,10
84735,1998,1,\N,\N
84741,1998,1,\N,1
84759,1998,2,1,\N
84761,1998,2,\N,1
84770,1998,3,3,38
84784,1998,3,\N,\N
84790,1998,7,1,11
84004,1998,\N,\N,3
84007,1998,\N,\N,1
84014,1998,\N,\N,1
84022,1998,\N,\N,1
84027,1998,\N,\N,1
84037,1998,\N,\N,9
84048,1998,\N,\N,2
84051,1998,\N,\N,2
84064,1998,\N,1,2
84075,1998,\N,\N,1
84095,1998,\N,\N,2
84096,1998,\N,\N,1
84131,1998,\N,\N,2
84147,1998,\N,\N,2
84150,1998,\N,\N,2
84159,1998,\N,\N,1
84180,1998,\N,\N,1
84201,1998,\N,\N,1
84310,1998,\N,\N,2
84313,1998,\N,\N,1
84319,1998,\N,\N,2
84322,1998,\N,\N,1
84402,1998,\N,\N,1
84407,1998,\N,\N,1
84409,1998,\N,\N,10
84503,1998,\N,\N,1
84504,1998,\N,\N,1
84534,1998,\N,\N,1
84627,1998,\N,1,1
84631,1998,\N,\N,2
84657,1998,\N,\N,1
84664,1998,\N,\N,1
84711,1998,\N,\N,1
84737,1998,\N,2,2
84738,1998,\N,\N,1
84751,1998,\N,\N,1
84016,1998,\N,1,\N
84021,1998,\N,1,\N
84036,1998,\N,1,\N
84125,1998,\N,1,\N
84135,1998,\N,1,\N
84430,1998,\N,2,\N
84440,1998,\N,1,\N
84511,1998,\N,1,\N
84533,1998,\N,1,\N
84536,1998,\N,1,\N
84725,1998,\N,1,\N
