zip	year	np	pa	ph	panp	pop	change_ph	change_panp	change_pop
84097	1998	2	1	2	3	18647	0	0	0
84094	1998	7	0	42	7	25902	0	0	0
84095	1998	0	0	2	0	12488	0	0	0
84001	1998	0	0	0	0	146	0	0	0
84003	1998	12	1	25	13	21927	0	0	0
84002	1998	0	0	0	0	10	0	0	0
84005	1998	0	0	0	0	0	0	0	0
84004	1998	0	0	3	0	3708	0	0	0
84007	1998	0	0	1	0	1443	0	0	0
84006	1998	0	0	0	0	640	0	0	0
84760	1998	0	0	0	0	354	0	0	0
84761	1998	2	0	1	2	1946	0	0	0
84762	1998	0	0	0	0	0	0	0	0
84763	1998	0	0	0	0	0	0	0	0
84764	1998	0	0	0	0	0	0	0	0
84765	1998	0	0	0	0	2331	0	0	0
84766	1998	0	0	0	0	19	0	0	0
84767	1998	0	0	0	0	0	0	0	0
84031	1998	0	0	0	0	54	0	0	0
84165	1998	0	0	0	0	0	0	0	0
