countyname	fips	category	PH	PAPN	POP	abs_change_ph	abs_change_papn	change_ph	change_papn
BEAVER	49001	Rural	4	4	5705	0	0	0	0
BOX ELDER	49003	Rural	30	9	41507	0	0	0	0
CACHE	49005	Rural	115	18	88326	0	0	0	0
CARBON	49007	Rural	22	10	20695	0	0	0	0
DAGGETT	49009	Rural	0	0	783	0	0	0	0
DAVIS	49011	Urban	205	61	229450	0	0	0	0
DUCHESNE	49013	Rural	21	6	14177	0	0	0	0
EMERY	49015	Rural	4	6	11059	0	0	0	0
GARFIELD	49017	Rural	0	7	4570	0	0	0	0
GRAND	49019	Rural	7	7	8197	0	0	0	0
IRON	49021	Rural	21	17	31687	0	0	0	0
JUAB	49023	Rural	9	4	7898	0	0	0	0
KANE	49025	Rural	2	1	6012	0	0	0	0
MILLARD	49027	Rural	9	1	12246	0	0	0	0
MORGAN	49029	Rural	2	1	6889	0	0	0	0
PIUTE	49031	Rural	0	0	1372	0	0	0	0
RICH	49033	Rural	3	1	1889	0	0	0	0
SALT LAKE	49035	Urban	1885	522	870735	0	0	0	0
SAN JUAN	49037	Rural	2	4	14779	0	0	0	0
SANPETE	49039	Rural	13	6	22445	0	0	0	0
SEVIER	49041	Rural	12	7	18294	0	0	0	0
SUMMIT	49043	Rural	33	21	27674	0	0	0	0
TOOELE	49045	Rural	13	11	35476	0	0	0	0
UINTAH	49047	Rural	22	8	24262	0	0	0	0
UTAH	49049	Urban	379	121	344820	0	0	0	0
WASATCH	49051	Rural	0	1	14132	0	0	0	0
WASHINGTON	49053	Rural	93	27	84579	0	0	0	0
WAYNE	49055	Rural	0	0	2421	0	0	0	0
WEBER	49057	Urban	312	71	189553	0	0	0	0
