zcta	year	panp	ph	pop	change_panp	change_ph	change_pop
84715	1998	0	0	373	0	0	0
84087	1998	0	0	9901	0	0	0
84123	1998	6	4	36943	0	0	0
84004	1998	0	3	7576	0	0	0
84108	1998	7	24	21239	0	0	0
84109	1998	10	11	24029	0	0	0
84740	1998	0	0	100	0	0	0
84741	1998	1	1	4777	0	0	0
84747	1998	0	0	943	0	0	0
84744	1998	0	0	294	0	0	0
84745	1998	0	0	3396	0	0	0
84711	1998	0	1	479	0	0	0
84102	1998	19	143	17424	0	0	0
84749	1998	0	0	217	0	0	0
84104	1998	8	3	22526	0	0	0
84105	1998	9	20	22363	0	0	0
84106	1998	7	6	32945	0	0	0
84107	1998	17	117	30769	0	0	0
84180	1998	0	1	0	0	0	0
84722	1998	0	0	489	0	0	0
84069	1998	0	0	472	0	0	0
84713	1998	3	1	3531	0	0	0
84063	1998	0	0	500	0	0	0
84062	1998	3	5	27106	0	0	0
84061	1998	0	0	535	0	0	0
84060	1998	3	8	7308	0	0	0
84067	1998	3	7	34657	0	0	0
84066	1998	3	6	8693	0	0	0
84065	1998	4	0	33277	0	0	0
84064	1998	1	2	764	0	0	0
84405	1998	12	33	25301	0	0	0
84642	1998	0	0	3567	0	0	0
84640	1998	0	0	148	0	0	0
84647	1998	1	0	3349	0	0	0
86514	1998	0	0	0	0	0	0
84645	1998	0	0	1417	0	0	0
846HH	1998	0	0	0	0	0	0
84080	1998	0	0	291	0	0	0
84649	1998	0	0	801	0	0	0
84648	1998	3	5	4947	0	0	0
84085	1998	0	0	526	0	0	0
84638	1998	0	0	225	0	0	0
847XX	1998	0	0	69	0	0	0
84086	1998	0	0	369	0	0	0
84536	1998	1	0	0	0	0	0
84766	1998	0	0	157	0	0	0
84316	1998	0	0	208	0	0	0
843XX	1998	0	0	0	0	0	0
84074	1998	7	6	28843	0	0	0
84075	1998	0	1	10405	0	0	0
84076	1998	0	0	372	0	0	0
84070	1998	1	5	23134	0	0	0
84071	1998	0	0	521	0	0	0
84072	1998	0	0	341	0	0	0
846XX	1998	0	0	283	0	0	0
84776	1998	0	0	514	0	0	0
84775	1998	0	0	426	0	0	0
84774	1998	0	0	349	0	0	0
84078	1998	5	12	19591	0	0	0
84772	1998	0	0	191	0	0	0
84770	1998	6	38	30596	0	0	0
843HH	1998	0	0	0	0	0	0
84535	1998	1	0	2689	0	0	0
84320	1998	0	0	2475	0	0	0
84414	1998	3	7	20891	0	0	0
84790	1998	8	11	20939	0	0	0
84039	1998	0	0	698	0	0	0
84654	1998	1	0	2732	0	0	0
84655	1998	0	0	6310	0	0	0
84656	1998	0	0	308	0	0	0
84657	1998	0	1	493	0	0	0
84650	1998	0	0	90	0	0	0
84097	1998	3	2	20844	0	0	0
84652	1998	0	0	915	0	0	0
84653	1998	1	1	5451	0	0	0
84088	1998	14	29	39042	0	0	0
84643	1998	0	0	569	0	0	0
84319	1998	0	2	6753	0	0	0
84636	1998	0	0	444	0	0	0
84001	1998	0	0	775	0	0	0
84003	1998	13	25	30441	0	0	0
84002	1998	0	0	110	0	0	0
84710	1998	0	0	168	0	0	0
84779	1998	0	0	626	0	0	0
84007	1998	0	1	512	0	0	0
84006	1998	0	0	726	0	0	0
84760	1998	0	0	652	0	0	0
84761	1998	2	1	2680	0	0	0
84762	1998	0	0	94	0	0	0
84073	1998	0	0	256	0	0	0
84764	1998	0	0	85	0	0	0
84765	1998	0	0	4473	0	0	0
847HH	1998	0	0	0	0	0	0
84331	1998	0	0	312	0	0	0
84318	1998	0	0	2715	0	0	0
84330	1998	0	0	385	0	0	0
84031	1998	0	0	193	0	0	0
84311	1998	0	0	697	0	0	0
84310	1998	0	2	3126	0	0	0
84313	1998	0	1	121	0	0	0
84312	1998	1	1	3509	0	0	0
84315	1998	0	0	6290	0	0	0
84314	1998	0	0	1188	0	0	0
84317	1998	0	0	2148	0	0	0
84743	1998	0	0	202	0	0	0
