countyname	fips	category	PH	PA	POP
BEAVER	49001	Rural	7	1	6285
BOX ELDER	49003	Rural	30	0	44022
CACHE	49005	Rural	93	11	98176
CARBON	49007	Rural	39	5	19558
DAGGETT	49009	Rural	0	0	921
DAVIS	49011	Urban	266	31	262038
DUCHESNE	49013	Rural	23	1	14698
EMERY	49015	Rural	1	3	10477
GARFIELD	49017	Rural	4	3	4532
GRAND	49019	Rural	14	3	8464
IRON	49021	Rural	33	3	37559
JUAB	49023	Rural	11	0	8713
KANE	49025	Rural	6	0	5937
MILLARD	49027	Rural	10	0	13068
MORGAN	49029	Rural	3	0	7938
PIUTE	49031	Rural	0	0	1358
RICH	49033	Rural	0	0	2079
SALT LAKE	49035	Urban	2388	155	940465
SAN JUAN	49037	Rural	7	4	14240
SANPETE	49039	Rural	23	1	24787
SEVIER	49041	Rural	13	4	19318
SUMMIT	49043	Rural	43	5	34073
TOOELE	49045	Rural	39	8	48956
UINTAH	49047	Rural	19	0	26019
UTAH	49049	Urban	508	30	423286
WASATCH	49051	Rural	14	1	18515
WASHINGTON	49053	Rural	134	14	109767
WAYNE	49055	Rural	1	4	2487
WEBER	49057	Urban	399	30	205882
